,date,datetime,coefs
0,Mercredi 01 Janvier 2025,2025-01-01,"[80, 81]"
1,Jeudi 02 Janvier 2025,2025-01-02,"[82, 83]"
2,Vendredi 03 Janvier 2025,2025-01-03,"[82, 81]"
3,Samedi 04 Janvier 2025,2025-01-04,"[80, 78]"
4,Dimanche 05 Janvier 2025,2025-01-05,"[75, 72]"
5,Lundi 06 Janvier 2025,2025-01-06,"[68, 64]"
6,Mardi 07 Janvier 2025,2025-01-07,"[61, None]"
7,Mercredi 08 Janvier 2025,2025-01-08,"[58, 55]"
8,Jeudi 09 Janvier 2025,2025-01-09,"[54, 54]"
9,Vendredi 10 Janvier 2025,2025-01-10,"[55, 58]"
10,Samedi 11 Janvier 2025,2025-01-11,"[61, 65]"
11,Dimanche 12 Janvier 2025,2025-01-12,"[69, 74]"
12,Lundi 13 Janvier 2025,2025-01-13,"[77, 81]"
13,Mardi 14 Janvier 2025,2025-01-14,"[83, 85]"
14,Mercredi 15 Janvier 2025,2025-01-15,"[86, 86]"
15,Jeudi 16 Janvier 2025,2025-01-16,"[86, 85]"
16,Vendredi 17 Janvier 2025,2025-01-17,"[83, 80]"
17,Samedi 18 Janvier 2025,2025-01-18,"[76, 72]"
18,Dimanche 19 Janvier 2025,2025-01-19,"[68, 63]"
19,Lundi 20 Janvier 2025,2025-01-20,"[59, 53]"
20,Mardi 21 Janvier 2025,2025-01-21,"[48, 43]"
21,Mercredi 22 Janvier 2025,2025-01-22,"[39, None]"
22,Jeudi 23 Janvier 2025,2025-01-23,"[35, 32]"
23,Vendredi 24 Janvier 2025,2025-01-24,"[31, 31]"
24,Samedi 25 Janvier 2025,2025-01-25,"[34, 37]"
25,Dimanche 26 Janvier 2025,2025-01-26,"[43, 48]"
26,Lundi 27 Janvier 2025,2025-01-27,"[55, 61]"
27,Mardi 28 Janvier 2025,2025-01-28,"[67, 73]"
28,Mercredi 29 Janvier 2025,2025-01-29,"[79, 84]"
29,Jeudi 30 Janvier 2025,2025-01-30,"[89, 93]"
30,Vendredi 31 Janvier 2025,2025-01-31,"[96, 98]"
31,Samedi 01 Février 2025,2025-02-01,"[99, 98]"
32,Dimanche 02 Février 2025,2025-02-02,"[96, 93]"
33,Lundi 03 Février 2025,2025-02-03,"[89, 84]"
34,Mardi 04 Février 2025,2025-02-04,"[78, 71]"
35,Mercredi 05 Février 2025,2025-02-05,"[64, None]"
36,Jeudi 06 Février 2025,2025-02-06,"[57, 50]"
37,Vendredi 07 Février 2025,2025-02-07,"[46, 43]"
38,Samedi 08 Février 2025,2025-02-08,"[43, 46]"
39,Dimanche 09 Février 2025,2025-02-09,"[50, 56]"
40,Lundi 10 Février 2025,2025-02-10,"[62, 68]"
41,Mardi 11 Février 2025,2025-02-11,"[74, 78]"
42,Mercredi 12 Février 2025,2025-02-12,"[82, 86]"
43,Jeudi 13 Février 2025,2025-02-13,"[88, 89]"
44,Vendredi 14 Février 2025,2025-02-14,"[90, 90]"
45,Samedi 15 Février 2025,2025-02-15,"[89, 87]"
46,Dimanche 16 Février 2025,2025-02-16,"[84, 80]"
47,Lundi 17 Février 2025,2025-02-17,"[76, 72]"
48,Mardi 18 Février 2025,2025-02-18,"[67, 61]"
49,Mercredi 19 Février 2025,2025-02-19,"[56, 49]"
50,Jeudi 20 Février 2025,2025-02-20,"[44, 38]"
51,Vendredi 21 Février 2025,2025-02-21,"[32, None]"
52,Samedi 22 Février 2025,2025-02-22,"[28, 25]"
53,Dimanche 23 Février 2025,2025-02-23,"[26, 30]"
54,Lundi 24 Février 2025,2025-02-24,"[36, 44]"
55,Mardi 25 Février 2025,2025-02-25,"[52, 60]"
56,Mercredi 26 Février 2025,2025-02-26,"[69, 77]"
57,Jeudi 27 Février 2025,2025-02-27,"[85, 92]"
58,Vendredi 28 Février 2025,2025-02-28,"[99, 104]"
59,Samedi 01 Mars 2025,2025-03-01,"[108, 110]"
60,Dimanche 02 Mars 2025,2025-03-02,"[111, 109]"
61,Lundi 03 Mars 2025,2025-03-03,"[107, 102]"
62,Mardi 04 Mars 2025,2025-03-04,"[96, 89]"
63,Mercredi 05 Mars 2025,2025-03-05,"[80, 72]"
64,Jeudi 06 Mars 2025,2025-03-06,"[62, 53]"
65,Vendredi 07 Mars 2025,2025-03-07,"[45, None]"
66,Samedi 08 Mars 2025,2025-03-08,"[39, 36]"
67,Dimanche 09 Mars 2025,2025-03-09,"[37, 41]"
68,Lundi 10 Mars 2025,2025-03-10,"[47, 54]"
69,Mardi 11 Mars 2025,2025-03-11,"[61, 68]"
70,Mercredi 12 Mars 2025,2025-03-12,"[73, 78]"
71,Jeudi 13 Mars 2025,2025-03-13,"[82, 85]"
72,Vendredi 14 Mars 2025,2025-03-14,"[88, 89]"
73,Samedi 15 Mars 2025,2025-03-15,"[90, 90]"
74,Dimanche 16 Mars 2025,2025-03-16,"[89, 88]"
75,Lundi 17 Mars 2025,2025-03-17,"[86, 83]"
76,Mardi 18 Mars 2025,2025-03-18,"[79, 75]"
77,Mercredi 19 Mars 2025,2025-03-19,"[70, 65]"
78,Jeudi 20 Mars 2025,2025-03-20,"[59, 53]"
79,Vendredi 21 Mars 2025,2025-03-21,"[47, 41]"
80,Samedi 22 Mars 2025,2025-03-22,"[35, 29]"
81,Dimanche 23 Mars 2025,2025-03-23,"[26, None]"
82,Lundi 24 Mars 2025,2025-03-24,"[26, 29]"
83,Mardi 25 Mars 2025,2025-03-25,"[36, 44]"
84,Mercredi 26 Mars 2025,2025-03-26,"[54, 63]"
85,Jeudi 27 Mars 2025,2025-03-27,"[73, 82]"
86,Vendredi 28 Mars 2025,2025-03-28,"[90, 97]"
87,Samedi 29 Mars 2025,2025-03-29,"[104, 109]"
88,Dimanche 30 Mars 2025,2025-03-30,"[112, 114]"
89,Lundi 31 Mars 2025,2025-03-31,"[114, 111]"
90,Mardi 01 Avril 2025,2025-04-01,"[107, 102]"
91,Mercredi 02 Avril 2025,2025-04-02,"[95, 87]"
92,Jeudi 03 Avril 2025,2025-04-03,"[77, 68]"
93,Vendredi 04 Avril 2025,2025-04-04,"[58, None]"
94,Samedi 05 Avril 2025,2025-04-05,"[50, 42]"
95,Dimanche 06 Avril 2025,2025-04-06,"[37, 35]"
96,Lundi 07 Avril 2025,2025-04-07,"[37, 42]"
97,Mardi 08 Avril 2025,2025-04-08,"[47, 54]"
98,Mercredi 09 Avril 2025,2025-04-09,"[59, 65]"
99,Jeudi 10 Avril 2025,2025-04-10,"[70, 74]"
100,Vendredi 11 Avril 2025,2025-04-11,"[78, 81]"
101,Samedi 12 Avril 2025,2025-04-12,"[83, 84]"
102,Dimanche 13 Avril 2025,2025-04-13,"[85, 85]"
103,Lundi 14 Avril 2025,2025-04-14,"[85, 84]"
104,Mardi 15 Avril 2025,2025-04-15,"[82, 80]"
105,Mercredi 16 Avril 2025,2025-04-16,"[77, 73]"
106,Jeudi 17 Avril 2025,2025-04-17,"[69, 65]"
107,Vendredi 18 Avril 2025,2025-04-18,"[60, 54]"
108,Samedi 19 Avril 2025,2025-04-19,"[49, 44]"
109,Dimanche 20 Avril 2025,2025-04-20,"[39, None]"
110,Lundi 21 Avril 2025,2025-04-21,"[34, 32]"
111,Mardi 22 Avril 2025,2025-04-22,"[32, 35]"
112,Mercredi 23 Avril 2025,2025-04-23,"[41, 48]"
113,Jeudi 24 Avril 2025,2025-04-24,"[57, 65]"
114,Vendredi 25 Avril 2025,2025-04-25,"[74, 82]"
115,Samedi 26 Avril 2025,2025-04-26,"[90, 96]"
116,Dimanche 27 Avril 2025,2025-04-27,"[101, 105]"
117,Lundi 28 Avril 2025,2025-04-28,"[108, 108]"
118,Mardi 29 Avril 2025,2025-04-29,"[107, 105]"
119,Mercredi 30 Avril 2025,2025-04-30,"[101, 96]"
120,Jeudi 01 Mai 2025,2025-05-01,"[89, 82]"
121,Vendredi 02 Mai 2025,2025-05-02,"[74, 66]"
122,Samedi 03 Mai 2025,2025-05-03,"[58, None]"
123,Dimanche 04 Mai 2025,2025-05-04,"[51, 45]"
124,Lundi 05 Mai 2025,2025-05-05,"[42, 40]"
125,Mardi 06 Mai 2025,2025-05-06,"[40, 43]"
126,Mercredi 07 Mai 2025,2025-05-07,"[46, 50]"
127,Jeudi 08 Mai 2025,2025-05-08,"[54, 58]"
