,datetime,coefs,h PM,h BM,hde PM,hde BM,date
11,2025-01-01,"[80, 81]","['07:46', '20:08']","['02:04', '14:29']","['10.7m', '10.5m']","['2.28m', '1.96m']",mercredi 1 janvier 2025
12,2025-01-02,"[82, 83]","['08:24', '20:47']","['02:46', '15:10']","['10.81m', '10.5m']","['2.15m', '1.85m']",jeudi 2 janvier 2025
13,2025-01-03,"[82, 81]","['09:03', '21:26']","['03:27', '15:51']","['10.76m', '10.35m']","['2.16m', '1.9m']",vendredi 3 janvier 2025
14,2025-01-04,"[80, 78]","['09:43', '22:08']","['04:08', '16:32']","['10.56m', '10.07m']","['2.31m', '2.12m']",samedi 4 janvier 2025
15,2025-01-05,"[75, 72]","['10:26', '22:54']","['04:49', '17:15']","['10.23m', '9.71m']","['2.59m', '2.45m']",dimanche 5 janvier 2025
16,2025-01-06,"[68, 64]","['11:17', '23:49']","['05:34', '18:04']","['9.82m', '9.35m']","['2.95m', '2.84m']",lundi 6 janvier 2025
17,2025-01-07,"[61, None]",['12:17'],"['06:27', '19:01']",['9.44m'],"['3.3m', '3.19m']",mardi 7 janvier 2025
18,2025-01-08,"[58, 55]","['00:55', '13:30']","['07:32', '20:10']","['9.11m', '9.22m']","['3.55m', '3.39m']",mercredi 8 janvier 2025
19,2025-01-09,"[54, 54]","['02:09', '14:47']","['08:48', '21:26']","['9.11m', '9.26m']","['3.57m', '3.35m']",jeudi 9 janvier 2025
20,2025-01-10,"[55, 58]","['03:23', '16:01']","['10:07', '22:40']","['9.36m', '9.55m']","['3.31m', '3.07m']",vendredi 10 janvier 2025
21,2025-01-11,"[61, 65]","['04:31', '17:07']","['11:18', '23:46']","['9.78m', '9.94m']","['2.86m', '2.69m']",samedi 11 janvier 2025
22,2025-01-12,"[69, 74]","['05:32', '18:05']",['12:20'],"['10.23m', '10.31m']",['2.37m'],dimanche 12 janvier 2025
23,2025-01-13,"[77, 81]","['06:26', '18:57']","['00:43', '13:14']","['10.61m', '10.58m']","['2.32m', '1.96m']",lundi 13 janvier 2025
24,2025-01-14,"[83, 85]","['07:14', '19:43']","['01:33', '14:01']","['10.85m', '10.71m']","['2.04m', '1.7m']",mardi 14 janvier 2025
25,2025-01-15,"[86, 86]","['07:56', '20:23']","['02:16', '14:41']","['10.95m', '10.7m']","['1.88m', '1.6m']",mercredi 15 janvier 2025
26,2025-01-16,"[86, 85]","['08:34', '20:59']","['02:55', '15:17']","['10.9m', '10.55m']","['1.87m', '1.68m']",jeudi 16 janvier 2025
27,2025-01-17,"[83, 80]","['09:08', '21:32']","['03:29', '15:49']","['10.72m', '10.29m']","['2m', '1.91m']",vendredi 17 janvier 2025
28,2025-01-18,"[76, 72]","['09:40', '22:03']","['04:00', '16:18']","['10.41m', '9.92m']","['2.27m', '2.28m']",samedi 18 janvier 2025
